,sex,age,address,famsize,Pstatus,Medu,Fedu,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,health,absences,pjob_at_home,pjob_health,pjob_other,pjob_services,pjob_teacher,passed
0,0,18,0,0,1,4,4,0,2,2,0,1,0,0,0,1,1,0,4,3,4,3,6,1,0,0,0,0,0
1,0,17,0,0,0,1,1,1,1,2,0,0,1,0,0,0,1,1,5,3,3,3,4,0,0,1,0,0,0
2,0,15,0,1,0,1,1,0,1,2,3,1,0,1,0,1,1,1,4,3,2,3,10,1,0,0,0,0,1
3,0,15,0,0,0,4,2,0,1,3,0,0,1,1,1,1,1,1,3,2,2,5,2,0,1,0,0,0,1
4,0,16,0,0,0,3,3,1,1,2,0,0,1,1,0,1,1,0,4,3,2,5,4,0,0,1,0,0,1
5,1,16,0,1,0,4,3,0,1,2,0,0,1,1,1,1,1,1,5,4,2,5,10,0,0,0,1,0,1
6,1,16,0,1,0,2,2,0,1,2,0,0,0,0,0,1,1,1,4,4,4,3,0,0,0,1,0,0,1
7,0,17,0,0,1,4,4,0,2,2,0,1,1,0,0,1,1,0,4,1,4,1,6,0,0,1,0,0,0
8,1,15,0,1,1,3,2,0,1,2,0,0,1,1,0,1,1,1,4,2,2,1,0,0,0,0,1,0,1
9,1,15,0,0,0,3,4,0,1,2,0,0,1,1,1,1,1,1,5,5,1,5,0,0,0,1,0,0,1
10,0,15,0,0,0,4,4,0,1,2,0,0,1,1,0,1,1,1,3,3,3,2,0,0,0,0,0,1,0
11,0,15,0,0,0,2,1,1,3,3,0,0,1,0,1,1,1,1,5,2,2,4,4,0,0,1,0,0,1
12,1,15,0,1,0,4,4,1,1,1,0,0,1,1,1,1,1,1,4,3,3,5,2,0,0,0,1,0,1
13,1,15,0,0,0,4,3,0,2,2,0,0,1,1,0,1,1,1,5,4,3,3,2,0,0,0,0,1,1
14,1,15,0,0,1,2,2,2,1,3,0,0,1,0,0,1,1,1,4,5,2,3,0,0,0,1,0,0,1
15,0,16,0,0,0,4,4,0,1,1,0,0,1,0,0,1,1,1,4,4,4,2,4,0,1,0,0,0,1
16,0,16,0,0,0,4,4,0,1,3,0,0,1,1,1,1,1,1,3,2,3,2,6,0,0,0,1,0,1
17,0,16,0,0,0,3,3,0,3,2,0,1,1,0,1,1,1,0,5,3,2,4,4,0,0,1,0,0,1
18,1,17,0,0,0,3,2,0,1,1,3,0,1,0,1,1,1,1,5,5,5,5,16,0,0,0,1,0,0
19,1,16,0,1,0,4,3,1,1,1,0,0,0,1,1,1,1,1,3,1,3,5,4,0,0,1,0,0,1
20,1,15,0,0,0,4,3,0,1,2,0,0,0,0,0,1,1,1,4,4,1,1,0,0,0,0,0,1,1
21,1,15,0,0,0,4,4,1,1,1,0,0,1,1,0,1,1,1,5,4,2,5,0,0,1,0,0,0,1
22,1,16,0,1,0,4,2,0,1,2,0,0,0,0,1,1,1,1,4,5,1,5,2,0,0,0,0,1,1
23,1,16,0,1,0,2,2,0,2,2,0,0,1,0,1,1,1,1,5,4,4,5,0,0,0,1,0,0,1
24,0,15,1,0,0,2,4,0,1,3,0,1,1,1,1,1,1,1,4,3,2,5,2,0,0,0,1,0,0
25,0,16,0,0,0,2,2,0,1,1,2,0,1,1,0,0,1,1,1,2,2,5,14,0,0,0,1,0,0
26,1,15,0,0,0,2,2,0,1,1,0,0,1,1,0,1,1,1,4,2,2,5,2,0,0,1,0,0,1
27,1,15,0,0,0,4,2,0,1,1,0,0,0,1,0,1,1,1,2,2,4,1,4,0,1,0,0,0,1
28,1,16,0,1,1,3,4,0,1,2,0,1,1,0,1,1,1,1,5,3,3,5,4,0,0,0,1,0,1
29,1,16,0,0,0,4,4,0,1,2,0,0,1,1,1,1,1,1,4,4,5,5,16,0,0,0,0,1,1
30,1,15,0,0,0,4,4,0,1,2,0,0,1,1,0,0,1,1,5,4,2,5,0,0,1,0,0,0,1
31,1,15,0,0,0,4,4,0,2,2,0,0,1,0,1,1,1,1,4,3,1,5,0,0,0,0,1,0,1
32,1,15,1,0,0,4,3,0,1,2,0,0,1,0,1,1,1,1,4,5,2,5,0,0,0,0,0,1,1
33,1,15,0,1,0,3,3,0,1,2,0,0,0,0,1,0,1,1,5,3,2,2,0,0,0,1,0,0,1
34,1,16,0,0,0,3,2,0,1,1,0,0,1,1,0,0,1,1,5,4,3,5,0,0,0,1,0,0,1
35,0,15,0,0,0,2,3,1,2,1,0,0,1,0,1,1,1,0,3,5,1,5,0,0,0,1,0,0,0
36,1,15,0,1,0,4,3,0,1,3,0,0,1,0,1,1,1,1,5,4,3,4,2,0,0,0,0,1,1
37,1,16,1,0,1,4,4,0,2,3,0,0,1,0,1,1,1,1,2,4,3,5,7,0,0,1,0,0,1
38,0,15,1,0,0,3,4,0,1,3,0,1,1,1,1,1,1,1,4,3,2,5,2,0,0,0,1,0,1
39,0,15,1,0,0,2,2,0,1,1,0,1,1,1,1,1,1,0,4,3,1,2,8,1,0,0,0,0,1
40,0,16,0,1,0,2,2,0,2,2,1,0,1,0,1,0,1,1,3,3,3,3,25,0,0,1,0,0,1
41,1,15,0,1,0,4,4,2,1,1,0,0,1,0,0,0,1,1,5,4,3,5,8,0,0,1,0,0,1
42,1,15,0,0,0,4,4,1,1,2,0,0,1,0,1,1,1,1,4,3,3,5,2,0,0,0,0,1,1
43,1,15,0,0,0,2,2,1,1,1,0,1,1,0,0,1,1,1,5,4,1,1,0,0,0,0,1,0,1
44,0,16,0,1,0,2,2,1,2,2,1,1,0,0,1,1,1,1,4,3,3,5,14,1,0,0,0,0,0
45,0,15,0,1,1,4,3,0,1,2,0,1,1,1,1,1,1,1,5,2,2,5,8,0,0,1,0,0,0
46,0,16,0,1,1,3,3,0,1,2,0,0,1,0,0,1,1,1,2,3,5,3,12,0,0,1,0,0,1
47,1,16,0,0,0,4,3,0,1,4,0,0,0,0,1,1,1,1,4,2,2,2,4,0,1,0,0,0,1
48,1,15,0,0,0,4,2,0,1,2,0,0,1,1,0,1,1,0,4,3,3,5,2,0,0,0,0,1,1
49,0,15,0,0,0,4,4,1,1,2,1,1,1,0,1,0,1,1,4,4,4,3,2,0,0,0,0,1,0
50,0,16,0,1,0,2,2,0,3,2,0,0,1,1,0,1,1,1,4,3,3,4,2,0,0,0,1,0,1
51,0,15,0,1,0,4,2,0,1,2,0,0,1,1,0,1,1,1,4,3,3,5,2,0,1,0,0,0,1
52,1,15,0,1,1,4,2,1,2,1,1,0,0,0,0,1,1,0,5,5,5,5,6,0,1,0,0,0,1
53,0,15,0,0,0,4,4,0,1,1,0,1,1,1,0,1,1,1,3,3,4,5,0,0,0,0,1,0,1
54,0,15,0,1,1,3,3,0,1,1,0,0,0,1,0,1,1,1,5,3,4,1,6,0,0,1,0,0,1
55,0,16,0,0,1,2,1,0,1,2,0,0,0,1,1,1,1,1,5,3,4,2,8,0,0,1,0,0,1
56,0,15,0,0,1,4,3,0,1,2,0,0,1,1,1,1,1,1,4,3,2,1,0,0,0,0,1,0,1
57,1,15,0,0,0,4,4,0,1,2,0,0,1,0,1,1,1,0,3,2,2,5,4,0,0,0,0,1,1
58,1,15,0,1,0,1,2,1,1,2,0,1,1,0,1,1,1,1,4,3,2,5,2,1,0,0,0,0,0
59,0,16,0,0,0,4,2,0,1,2,0,0,1,0,0,1,1,1,4,2,3,5,2,0,0,0,1,0,1
60,0,16,1,0,0,4,4,0,1,2,0,0,1,0,1,1,1,0,2,4,4,4,6,0,1,0,0,0,1
61,0,16,0,0,0,1,1,1,4,1,0,1,1,0,1,0,1,1,5,5,5,5,6,0,0,0,1,0,1
62,0,16,0,1,0,1,2,1,1,2,0,1,0,0,1,1,1,1,4,4,3,1,4,0,0,0,1,0,0
63,0,16,0,0,0,4,3,0,1,3,0,1,1,1,1,1,1,1,3,4,4,4,2,0,0,0,0,1,0
64,0,15,0,1,0,4,3,1,1,2,0,1,0,0,1,1,1,1,4,4,4,2,0,0,0,0,1,0,1
65,0,16,0,1,0,4,3,0,3,2,0,0,1,0,1,1,1,1,5,4,3,1,2,0,0,0,0,1,1
66,1,15,0,0,1,4,4,0,1,4,0,0,1,0,1,0,1,1,1,3,3,3,4,0,0,1,0,0,1
67,0,16,0,0,0,3,1,0,1,4,0,1,1,1,0,1,1,1,4,3,3,5,4,0,0,0,1,0,0
68,0,15,1,1,0,2,2,0,2,2,0,1,1,1,0,1,1,1,4,1,3,4,2,0,1,0,0,0,0
69,0,15,1,1,0,3,1,1,2,4,0,0,1,0,0,0,1,1,4,4,2,3,12,0,0,1,0,0,1
70,1,16,0,0,0,3,1,1,2,4,0,0,1,1,0,1,1,1,4,3,2,5,0,0,0,1,0,0,1
71,1,15,0,0,0,4,2,0,1,4,0,0,0,0,0,1,1,1,3,3,3,3,0,0,0,1,0,0,1
72,0,15,1,0,0,1,1,0,1,2,2,1,1,0,0,0,1,1,3,3,4,5,2,0,0,1,0,0,0
73,1,16,0,0,0,3,1,0,1,1,0,0,0,0,1,1,1,0,5,3,2,5,2,0,0,1,0,0,1
74,0,16,0,0,0,3,3,0,1,2,0,1,1,1,1,1,1,1,4,3,3,5,54,0,0,1,0,0,1
75,1,15,0,0,0,4,3,0,1,2,0,0,1,1,1,1,1,1,4,3,3,5,6,0,0,0,0,1,1
76,1,15,0,0,0,4,0,0,2,4,0,0,0,0,1,1,1,1,3,4,3,1,8,0,0,0,0,1,1
77,0,16,0,0,0,2,2,0,1,4,0,0,0,1,0,1,1,1,5,2,3,3,0,0,0,1,0,0,1
78,1,17,0,0,0,2,1,0,2,1,3,1,1,0,1,1,0,1,4,5,1,3,2,0,0,1,0,0,1
79,0,16,0,0,0,3,4,0,1,2,0,0,1,0,0,1,1,1,2,4,3,3,12,1,0,0,0,0,0
80,1,15,0,0,0,2,3,1,1,1,0,1,1,1,1,0,1,1,3,2,2,3,2,0,0,0,1,0,1
81,1,15,0,0,0,2,3,0,1,3,0,1,0,1,0,0,1,1,5,3,2,5,4,0,0,1,0,0,1
82,0,15,0,1,0,3,2,0,1,2,0,0,1,1,0,1,1,1,4,4,4,5,10,0,0,0,1,0,0
83,1,15,0,1,0,2,2,0,2,2,0,0,0,1,1,1,1,1,5,3,3,4,4,0,0,0,1,0,1
84,0,15,0,0,0,1,1,1,1,2,0,0,1,0,1,0,1,1,4,3,2,4,2,0,0,1,0,0,1
85,0,15,0,0,0,4,4,1,2,2,2,0,0,1,0,1,1,1,4,4,4,5,6,0,0,0,1,0,0
86,0,16,0,1,0,2,2,0,1,2,0,0,1,0,0,1,1,0,4,3,4,2,4,1,0,0,0,0,0
87,0,15,0,0,0,4,2,0,1,3,0,0,1,0,1,1,1,1,5,3,3,1,4,0,0,1,0,0,1
88,1,16,0,0,0,2,2,1,2,2,1,0,0,1,1,0,1,1,4,4,2,3,12,0,0,1,0,0,1
89,1,16,0,1,1,4,4,0,1,2,0,0,1,0,0,1,1,0,4,1,3,5,18,0,0,0,0,1,0
90,0,16,0,0,0,3,3,0,1,3,0,0,1,1,0,1,1,1,4,3,3,4,0,0,0,1,0,0,0
91,0,15,0,0,0,4,3,0,1,1,0,0,0,1,1,1,1,1,4,5,5,1,4,0,0,0,1,0,1
92,0,16,0,1,0,3,1,1,1,2,0,1,1,0,0,1,1,0,3,3,3,2,4,0,0,1,0,0,0
93,0,16,0,0,0,4,2,0,2,2,0,0,1,1,1,1,1,1,5,3,3,1,0,0,0,0,0,1,1
94,1,15,0,1,0,2,2,0,1,4,0,0,1,0,1,1,1,1,4,3,4,4,6,0,0,0,1,0,1
95,0,15,1,0,0,1,1,0,2,4,1,1,1,1,1,1,1,1,3,1,2,1,2,1,0,0,0,0,1
96,1,16,1,0,0,4,3,0,2,1,0,1,1,0,1,0,1,1,3,3,3,4,2,0,0,0,1,0,1
97,0,16,0,0,0,2,1,0,1,2,0,0,1,1,0,1,1,0,4,3,5,5,2,0,0,1,0,0,1
98,0,16,0,0,0,4,4,0,1,1,0,0,0,0,1,0,1,1,5,3,4,1,6,0,0,1,0,0,1
99,0,16,0,0,0,4,3,0,1,3,0,1,1,1,0,1,1,1,5,3,5,3,0,0,0,1,0,0,0
100,1,16,0,0,0,4,4,0,1,1,0,1,1,1,1,1,1,1,4,5,5,4,14,0,0,0,1,0,0
101,1,16,0,0,0,4,4,1,1,3,0,0,1,0,1,1,1,1,4,4,3,4,0,0,0,0,0,1,1
102,1,15,0,0,0,4,4,0,1,1,0,0,1,0,1,0,1,1,5,3,3,5,4,0,0,0,1,0,1
103,0,15,0,0,0,3,2,0,2,2,0,1,1,1,0,1,1,1,4,3,5,2,26,0,0,0,1,0,0
104,1,15,0,0,1,3,4,0,1,2,0,0,1,1,1,1,1,1,5,4,4,1,0,0,0,0,1,0,1
105,0,15,0,0,1,3,3,1,1,4,0,1,0,0,0,1,1,0,4,3,3,4,10,0,1,0,0,0,1
106,0,15,0,0,0,2,2,0,1,4,0,1,1,1,0,1,1,1,5,1,2,3,8,0,0,1,0,0,0
107,1,16,0,0,0,3,3,1,1,3,0,0,1,0,1,1,1,1,5,3,3,5,2,0,0,1,0,0,1
108,1,15,1,0,0,4,4,1,4,4,0,0,1,1,1,1,1,1,1,3,5,1,6,0,0,1,0,0,1
109,0,16,0,1,0,4,4,0,1,3,0,0,1,1,1,1,1,1,5,4,5,4,4,0,1,0,0,0,1
110,1,15,0,1,1,4,4,0,1,1,0,0,0,0,1,1,1,1,5,5,3,4,6,0,0,0,0,1,1
111,0,16,1,0,0,3,3,1,1,3,1,1,1,0,1,1,1,1,4,1,2,2,0,0,0,1,0,0,1
112,0,16,0,0,0,2,2,0,1,2,1,1,0,0,1,1,1,1,3,1,2,5,6,1,0,0,0,0,1
113,1,15,0,1,0,4,2,0,1,1,0,0,0,0,0,1,1,1,3,5,2,3,10,0,0,0,0,1,1
114,1,15,1,0,0,2,1,0,1,2,0,0,0,0,1,1,1,1,5,4,2,5,8,0,1,0,0,0,0
115,1,16,0,0,0,4,4,1,1,2,0,0,1,0,1,1,1,1,5,4,4,5,2,0,0,0,0,1,1
116,1,15,0,0,0,4,4,1,2,2,0,0,1,0,1,1,1,0,4,4,3,2,2,0,0,0,0,1,1
117,1,16,0,0,0,3,3,1,2,1,0,0,0,0,1,1,1,1,5,4,2,5,0,0,0,0,1,0,1
118,1,17,1,0,0,1,3,1,3,2,1,0,1,0,1,1,1,1,5,2,4,5,20,0,0,1,0,0,0
119,1,15,0,0,0,3,4,1,1,1,0,0,0,0,0,1,1,1,3,4,3,4,6,0,0,1,0,0,1
120,0,15,0,0,0,1,2,0,1,2,0,0,0,0,0,0,1,1,3,2,3,1,2,1,0,0,0,0,1
121,1,15,0,0,0,2,2,1,1,4,0,0,1,1,1,1,1,1,5,5,4,5,6,0,0,0,1,0,1
122,0,16,0,1,0,2,4,1,2,2,0,0,1,1,1,1,1,1,4,2,2,5,2,0,1,0,0,0,1
123,1,16,0,0,0,4,4,0,1,1,0,0,1,0,1,1,1,1,3,4,4,5,18,0,1,0,0,0,1
124,0,16,0,0,0,2,2,0,1,2,0,0,0,1,0,1,1,1,5,4,4,5,0,0,0,1,0,0,0
125,1,15,0,0,0,3,4,1,1,1,0,1,0,0,0,1,1,1,5,5,5,5,0,0,0,0,1,0,1
126,0,15,0,1,1,3,4,0,1,2,0,1,0,0,1,1,1,1,5,3,2,1,0,0,0,1,0,0,1
127,0,19,0,0,0,0,1,2,1,2,3,0,1,0,0,0,0,0,3,4,2,5,2,0,0,1,0,0,0
128,1,18,1,0,0,2,2,0,1,1,2,0,1,0,1,1,1,1,3,3,3,4,0,0,0,0,1,0,0
129,1,16,1,0,0,4,4,0,1,1,0,0,0,1,1,1,1,1,3,5,5,4,8,0,0,0,0,1,1
130,0,15,1,0,0,3,4,1,2,3,2,0,1,0,0,1,1,1,4,2,2,5,0,0,0,0,0,1,0
131,0,15,0,0,0,1,1,0,3,1,0,0,1,0,1,0,1,1,4,3,3,4,0,1,0,0,0,0,0
132,0,17,0,1,0,2,2,1,1,1,0,0,1,0,0,1,1,1,3,4,4,5,12,0,0,1,0,0,1
133,0,16,0,0,1,3,4,1,1,1,0,0,0,0,0,1,1,1,3,2,1,5,16,0,0,1,0,0,1
134,1,15,1,0,0,3,4,0,4,2,0,0,1,0,0,1,1,0,5,3,3,5,0,1,0,0,0,0,0
135,0,15,0,0,0,4,4,0,1,3,0,0,1,0,1,1,1,1,4,3,3,5,0,0,0,0,1,0,0
136,1,17,1,0,0,3,4,0,3,2,0,0,0,0,0,1,1,0,5,4,5,5,0,1,0,0,0,0,0
137,0,16,0,0,1,3,3,2,2,1,2,0,1,0,1,0,1,1,4,3,2,5,0,0,0,1,0,0,0
138,1,16,0,1,0,1,1,0,1,2,1,0,0,0,0,1,1,0,4,4,4,5,0,0,0,0,1,0,1
139,0,15,0,0,0,4,4,0,2,1,0,0,0,0,1,1,1,1,4,3,2,5,0,0,0,0,0,1,1
140,1,15,0,0,0,4,3,1,2,4,0,1,1,0,0,1,1,1,2,2,2,3,0,0,0,0,1,0,0
141,1,16,0,1,0,2,2,1,2,1,2,0,1,0,1,1,1,1,2,3,3,2,8,0,0,0,1,0,0
142,0,15,0,0,0,4,4,0,1,3,0,0,1,1,1,1,1,1,4,2,2,5,2,0,0,0,0,1,1
143,0,16,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,3,4,4,1,2,1,0,0,0,0,1
144,1,17,0,0,0,2,1,0,1,1,3,0,1,0,0,1,1,1,5,4,5,5,0,0,0,1,0,0,0
145,0,15,0,0,0,1,1,1,1,2,0,0,1,1,0,1,1,1,4,4,2,5,0,0,0,0,1,0,1
146,0,15,0,0,0,3,2,1,1,2,3,0,1,0,0,1,1,1,3,3,2,3,0,0,0,0,1,0,0
147,0,15,0,0,0,1,2,0,1,2,0,0,1,1,0,0,1,1,4,3,2,5,2,1,0,0,0,0,1
148,1,16,0,0,0,4,4,0,1,1,0,0,1,0,0,1,0,1,3,3,2,5,0,0,0,0,0,1,0
149,1,15,0,1,1,2,1,0,4,1,3,0,0,0,0,1,1,1,4,5,5,5,0,0,0,0,1,0,1
150,1,18,0,1,0,1,1,0,1,1,3,0,0,0,0,1,0,1,2,3,5,4,0,0,0,1,0,0,0
151,1,16,0,1,0,2,1,0,1,1,1,0,0,0,1,1,1,0,4,4,4,5,6,1,0,0,0,0,1
152,0,15,1,0,0,3,3,2,2,3,2,0,1,1,1,1,1,1,4,2,1,3,8,0,0,0,1,0,1
153,1,19,0,0,0,3,2,0,1,1,3,0,1,0,0,1,0,1,4,5,4,4,0,0,0,0,1,0,0
154,0,17,0,0,0,4,4,0,1,1,0,1,1,0,0,1,1,0,4,2,1,4,0,0,0,1,0,0,1
155,1,15,1,0,0,2,3,0,1,2,0,1,0,1,1,1,1,0,4,4,4,1,2,1,0,0,0,0,0
156,1,17,1,1,0,1,2,0,1,1,0,0,0,0,0,1,1,0,2,2,2,5,8,0,0,1,0,0,1
157,0,18,1,0,0,1,1,0,3,1,3,0,1,0,1,0,1,0,5,2,5,4,6,1,0,0,0,0,1
158,1,16,1,0,0,2,2,0,3,1,0,0,0,0,0,0,1,0,4,2,2,3,2,1,0,0,0,0,1
159,1,16,0,0,0,3,3,1,1,2,1,0,1,1,0,1,1,1,4,5,5,5,4,0,0,0,1,0,1
160,1,17,1,1,0,2,1,0,2,1,2,0,0,0,1,1,0,1,3,3,2,5,0,1,0,0,0,0,0
161,1,15,1,0,0,3,2,0,2,2,2,1,1,0,0,1,1,1,4,4,4,3,6,0,0,1,0,0,0
162,1,16,0,1,0,1,2,0,2,1,1,0,0,0,1,1,1,0,4,4,4,5,0,0,0,1,0,0,0
163,1,17,0,0,0,1,3,1,1,1,0,0,0,0,0,1,0,1,5,3,3,2,2,0,0,0,1,0,1
164,1,17,1,1,0,1,1,0,4,2,3,0,0,0,1,1,0,0,5,3,5,5,0,0,0,1,0,0,0
165,1,16,0,0,0,3,2,0,2,1,1,0,1,0,1,0,0,0,4,5,2,2,16,0,0,0,1,0,1
166,1,16,0,0,0,2,2,1,1,2,0,0,0,0,0,1,0,1,4,3,5,4,4,0,0,1,0,0,1
167,0,16,0,0,0,4,2,1,1,2,0,0,0,1,0,1,1,1,4,2,3,3,0,0,0,0,1,0,1
168,0,16,0,0,0,2,2,0,1,2,0,0,1,1,0,0,1,1,5,1,5,4,0,0,0,1,0,0,0
169,0,16,0,0,0,4,4,0,1,2,0,0,1,1,0,1,1,1,4,4,2,3,0,0,1,0,0,0,1
170,1,16,0,0,0,3,4,1,3,1,2,0,1,0,1,0,1,1,3,4,5,2,0,0,0,1,0,0,0
171,1,16,0,0,0,1,0,0,2,2,0,0,1,1,1,1,1,1,4,3,2,3,2,0,0,1,0,0,1
172,1,17,0,1,0,4,4,0,1,2,0,0,1,1,1,1,1,1,4,4,4,5,0,0,0,0,0,1,1
173,0,16,0,0,0,1,3,0,1,2,3,0,0,0,1,0,1,1,4,3,5,3,0,1,0,0,0,0,0
174,0,16,0,1,0,3,3,0,2,2,0,0,1,1,1,1,1,1,4,4,5,4,4,0,0,1,0,0,0
175,1,17,0,1,0,4,3,0,2,2,0,0,0,1,1,1,1,1,4,4,4,4,4,0,0,0,0,1,0
176,0,16,0,0,0,2,2,0,2,2,0,0,0,1,1,0,1,1,3,4,4,5,2,0,0,0,1,0,1
177,1,17,0,0,0,3,3,1,1,2,0,0,0,0,1,0,1,1,4,3,4,4,4,0,0,1,0,0,0
178,1,16,1,0,0,4,2,0,1,1,0,0,1,0,1,1,1,1,4,3,3,3,10,0,0,0,0,1,0
179,1,17,0,0,0,4,3,0,1,2,0,0,1,0,1,1,1,1,5,2,3,2,4,0,0,1,0,0,1
180,1,16,0,0,0,4,3,0,1,2,0,0,1,1,1,1,1,1,3,4,3,3,10,0,0,0,0,1,0
181,1,16,0,0,0,3,3,0,1,2,0,0,0,1,1,1,1,1,4,2,3,3,2,0,0,0,1,0,1
182,0,17,0,0,0,2,4,1,1,2,0,0,1,0,1,1,1,0,5,4,2,5,0,0,0,0,1,0,1
183,0,17,0,1,0,3,3,0,1,2,0,0,1,0,1,1,1,1,5,3,3,1,56,0,0,1,0,0,0
184,0,16,0,0,0,3,2,0,1,2,0,0,1,1,0,1,1,1,1,2,2,1,14,0,0,1,0,0,1
185,1,17,0,0,0,3,3,0,1,2,0,0,1,0,1,1,1,1,4,3,4,4,12,0,0,0,1,0,1
186,1,16,0,0,0,1,2,0,1,1,0,0,1,1,1,1,1,1,3,3,3,3,2,0,0,0,1,0,1
187,1,16,0,1,0,2,1,0,1,2,0,0,0,1,1,1,1,1,4,2,3,5,0,0,0,1,0,0,1
188,0,17,0,0,1,3,3,0,1,2,0,0,1,0,0,0,1,1,3,3,3,3,6,0,1,0,0,0,0
189,1,17,1,0,0,1,2,0,1,2,0,0,0,0,0,1,1,0,3,1,3,3,4,1,0,0,0,0,1
190,0,16,0,0,0,2,3,0,1,2,0,0,0,0,0,1,1,1,4,3,3,2,10,0,0,0,1,0,1
191,0,17,0,0,0,1,1,0,1,2,0,0,0,0,1,1,1,1,5,3,3,3,0,1,0,0,0,0,0
192,1,17,0,0,0,1,2,2,2,2,0,0,0,1,1,0,1,1,4,4,4,5,12,0,0,0,1,0,0
193,1,16,1,0,0,3,3,0,1,1,0,0,1,0,1,1,1,1,4,3,2,5,8,0,0,0,1,0,1
194,1,16,0,0,0,2,3,1,2,1,0,0,0,0,0,1,1,1,5,3,3,3,0,0,0,1,0,0,1
195,0,17,0,1,0,2,4,1,1,2,0,0,0,0,1,1,1,1,4,3,2,5,0,0,0,0,1,0,1
